b0,b1,b2,b3,budget,wsign,yield_,n
4,1,2,8,64,0.5139121750592813,0.9553571428571429,77
4,1,2,16,128,0.5552682011788053,0.9732142857142857,77
4,1,4,4,64,0.5081231366527919,0.961038961038961,77
4,1,4,8,128,0.5628571116276675,0.9813311688311688,77
4,1,4,16,256,0.602199939915725,0.9886363636363636,77
4,1,8,2,64,0.5105153674204196,0.9667207792207793,77
4,1,8,4,128,0.5609557420393458,0.9805194805194806,77
4,1,8,8,256,0.5970353101063335,0.989448051948052,77
4,1,16,1,64,0.5096045793306512,0.963474025974026,77
4,1,16,2,128,0.5493154060624621,0.9878246753246753,77
4,1,16,4,256,0.5792791618775475,0.9910714285714286,77
4,2,1,8,64,0.3990150814889834,0.9521103896103896,77
4,2,1,16,128,0.41862266211654087,0.9788961038961039,77
4,2,2,4,64,0.49442559986228635,0.9756493506493507,77
4,2,2,8,128,0.5683322670526921,0.9878246753246753,77
4,2,2,16,256,0.6122949135055947,0.9959415584415584,77
4,2,4,2,64,0.47729289822049414,0.976461038961039,77
4,2,4,4,128,0.5566183022385655,0.9902597402597403,77
4,2,4,8,256,0.6143911279680793,0.9967532467532467,77
4,2,8,1,64,0.4767878505479862,0.9748376623376623,77
4,2,8,2,128,0.5351942499266261,0.9926948051948052,77
4,2,8,4,256,0.584042957296589,0.9983766233766234,77
4,2,16,1,128,0.5271994351092287,0.9951298701298701,77
4,2,16,2,256,0.566235651667294,0.9967532467532467,77
4,4,1,4,64,0.32958835383046653,0.9724025974025974,77
4,4,1,8,128,0.3719861278121904,0.989448051948052,77
4,4,1,16,256,0.3919160685157712,0.9967532467532467,77
4,4,2,2,64,0.38957019240835006,0.9813311688311688,77
4,4,2,4,128,0.4689917793128935,0.9943181818181818,77
4,4,2,8,256,0.5517396353139598,0.997564935064935,77
4,4,4,1,64,0.398302400226594,0.9853896103896104,77
4,4,4,2,128,0.47098502003011794,0.9926948051948052,77
4,4,4,4,256,0.5466400651524362,0.9983766233766234,77
4,4,8,1,128,0.4745904469486045,0.9943181818181818,77
4,4,8,2,256,0.5325130057758053,0.9991883116883117,77
4,4,16,1,256,0.5240959813137487,0.9983766233766234,77
4,8,1,2,64,0.2995057604611582,0.9813311688311688,77
4,8,1,4,128,0.31799506283181705,0.9935064935064936,77
4,8,1,8,256,0.3497350308231029,0.9983766233766234,77
4,8,2,1,64,0.32804832860976224,0.9853896103896104,77
4,8,2,2,128,0.37065215010429947,0.9951298701298701,77
4,8,2,4,256,0.4603999002355654,0.9983766233766234,77
4,8,4,1,128,0.38663024593506934,0.9943181818181818,77
4,8,4,2,256,0.4634206359663074,0.9983766233766234,77
4,8,8,1,256,0.45697914293044484,1.0,77
4,16,1,1,64,0.2796612904555171,0.9886363636363636,77
4,16,1,2,128,0.2802924943844267,0.997564935064935,77
4,16,1,4,256,0.307792830575045,0.9967532467532467,77
4,16,2,1,128,0.3140664539121736,0.9935064935064936,77
4,16,2,2,256,0.36789940674484306,0.9983766233766234,77
4,16,4,1,256,0.38198422642333973,0.9983766233766234,77
